syn	length	gc
ENSG00000254310.1	AC025755.1	278	0.439
ENSG00000214890.3	AC020937.1	1013	0.41
ENSG00000201955.1	RNY3P1	102	0.431
ENSG00000249829.2	AC016559.2	199	0.523
ENSG00000206592.1	AC016559.1	132	0.439
ENSG00000250330.1	AC016559.3	359	0.44
ENSG00000213757.3	RPS3AP20	787	0.426
ENSG00000213755.3	AC093270.1	486	0.537
ENSG00000243160.1	AC093270.2	792	0.501
ENSG00000207391.1	Y_RNA	102	0.441
ENSG00000277818.1	Y_RNA	102	0.392
ENSG00000250258.1	AC008496.2	460	0.535
ENSG00000238254.3	AC008496.1	295	0.576
ENSG00000250888.1	LINC01455	561	0.406
ENSG00000251050.1	RBX1P2	312	0.474
ENSG00000249778.1	TRMT112P2	132	0.576
ENSG00000251675.1	AC010260.1	664	0.489
ENSG00000249438.2	KRT18P45	1333	0.537
ENSG00000184188.6	AC026410.1	1101	0.55
ENSG00000251828.1	AC026410.4	134	0.418
ENSG00000244076.1	AC026410.2	156	0.417
ENSG00000227087.4	RBMX2P5	969	0.494
ENSG00000248569.1	AC026410.3	936	0.507
ENSG00000220157.4	HNRNPA1P12	961	0.47
ENSG00000206774.1	RNU6-211P	107	0.374
ENSG00000242706.2	RPS27AP9	438	0.434
ENSG00000240003.2	RPL7P24	752	0.428
ENSG00000251366.1	DBIP2	262	0.435
ENSG00000251221.1	LINC01337	440	0.436
ENSG00000249655.1	AC008434.1	549	0.457
ENSG00000271043.2	MTRNR2L2	87	0.425
ENSG00000248967.1	AC022493.2	481	0.42
ENSG00000244630.2	AC022493.1	337	0.445
ENSG00000251001.1	AC026427.2	536	0.364
ENSG00000249772.1	AC026427.1	555	0.486
ENSG00000248794.1	AC026436.1	270	0.444
ENSG00000286721.1	AC010623.1	2231	0.375
ENSG00000287938.1	AC026726.2	512	0.436
ENSG00000249483.1	AC026726.1	601	0.549
ENSG00000214857.4	SEM1P1	209	0.426
ENSG00000236447.2	ATG10-IT1	487	0.448
ENSG00000251495.1	PPIAP11	493	0.487
ENSG00000248192.1	ATG10-AS1	648	0.387
ENSG00000265684.2	RN7SL378P	298	0.527
ENSG00000251374.1	AC010598.1	103	0.398
ENSG00000248393.1	AC026782.1	449	0.361
ENSG00000248870.1	AC026782.2	636	0.409
ENSG00000249100.1	AC008885.2	930	0.383
ENSG00000240411.2	RPL5P16	790	0.377
ENSG00000248105.1	AC008885.1	301	0.512
ENSG00000283359.1	MIR3977	70	0.343
ENSG00000248112.1	AC108174.1	745	0.395
ENSG00000249857.1	AC027338.2	526	0.468
ENSG00000248400.2	ST13P12	1094	0.449
ENSG00000249664.1	AC027338.1	825	0.296
ENSG00000271862.1	AC104118.1	1589	0.403
ENSG00000238835.1	SCARNA18	134	0.403
ENSG00000243385.2	AC094085.1	584	0.497
ENSG00000251552.1	COQ10BP2	724	0.401
ENSG00000251395.1	FTH1P9	355	0.377
ENSG00000253073.1	RN7SKP295	153	0.359
ENSG00000206744.1	RNU6-620P	96	0.406
ENSG00000242858.1	AC020899.1	602	0.558
ENSG00000202157.1	RNU4-11P	132	0.379
ENSG00000250013.1	ZP3P1	656	0.492
ENSG00000252861.1	RNU6-448P	107	0.402
ENSG00000214853.5	PPIAP79	504	0.454
ENSG00000249349.1	AC114928.1	415	0.455
ENSG00000248674.1	RBBP4P6	202	0.381
ENSG00000250253.3	AC117522.3	584	0.462
ENSG00000249792.1	AC117522.2	657	0.279
ENSG00000248170.1	AC117522.1	380	0.368
ENSG00000248667.1	AC010486.1	424	0.387
ENSG00000249023.1	AC010486.2	483	0.304
ENSG00000249842.1	AC010486.3	785	0.299
ENSG00000243859.3	RPL5P17	877	0.422
ENSG00000251066.1	AC026700.1	544	0.526
ENSG00000250874.1	AC010595.1	1453	0.374
ENSG00000241965.2	RPS2P25	580	0.495
ENSG00000249153.1	AC026414.1	698	0.271
ENSG00000250359.1	PTP4A1P4	322	0.373
ENSG00000280009.1	AC020923.1	917	0.297
ENSG00000248195.1	AC016550.1	785	0.238
ENSG00000250124.1	AC016550.3	767	0.316
ENSG00000251585.1	AC026444.1	496	0.373
ENSG00000284078.1	SNORD138	79	0.38
ENSG00000207013.1	RNU6-804P	107	0.364
ENSG00000248701.1	AC008539.1	482	0.396
ENSG00000242477.1	AC091429.1	651	0.505
ENSG00000251951.1	RN7SKP34	244	0.414
ENSG00000265919.1	MIR4280	76	0.434
ENSG00000241243.3	RN7SL629P	285	0.509
ENSG00000207452.1	RNU6-606P	111	0.351
ENSG00000285190.1	AC018754.1	2113	0.467
ENSG00000200462.1	RNU6-727P	107	0.421
ENSG00000248708.2	LINC02144	915	0.366
ENSG00000207129.1	RNA5SP187	119	0.521
ENSG00000240083.2	RPS3AP22	769	0.382
ENSG00000206958.1	SNORA70	136	0.537
ENSG00000250306.1	AC091826.1	313	0.466
ENSG00000271904.1	AC091826.2	412	0.364
ENSG00000250705.1	H3P23	338	0.5
ENSG00000284447.1	MIR9-2	87	0.368
ENSG00000250555.2	AC008525.2	82	0.561
ENSG00000250831.1	AC074131.1	253	0.494
ENSG00000250437.1	LINC02161	420	0.471
ENSG00000264342.3	MIR3660	100	0.38
ENSG00000253321.1	AC099554.1	572	0.414
ENSG00000260871.1	AC093510.2	896	0.316
ENSG00000249514.1	TMEM251P1	318	0.406
ENSG00000285618.1	AC074132.1	687	0.39
ENSG00000212930.3	AC093281.1	549	0.474
ENSG00000251093.1	AC093281.2	597	0.374
ENSG00000199643.1	RNU4-90P	141	0.34
ENSG00000234292.3	AC123595.1	1046	0.52
ENSG00000286638.1	AC123595.2	1372	0.481
ENSG00000277001.1	Metazoa_SRP	282	0.578
ENSG00000240388.2	AC008799.1	457	0.481
ENSG00000241059.2	AC008799.2	647	0.413
ENSG00000251356.1	RAB5CP2	637	0.534
ENSG00000286121.1	AC093298.2	2524	0.373
ENSG00000248826.2	PCBP2P3	843	0.463
ENSG00000276426.1	AC093298.1	95	0.505
ENSG00000249984.1	AC026780.2	730	0.41
ENSG00000248950.1	LDHBP3	822	0.342
ENSG00000249958.1	CCT7P2	1454	0.465
ENSG00000248528.1	LINC02058	707	0.45
ENSG00000251361.1	AC012625.1	625	0.37
ENSG00000286509.1	AC026408.1	1032	0.34
ENSG00000213730.3	POLD2P1	997	0.58
ENSG00000278905.1	AC106818.1	3242	0.441
ENSG00000284336.1	MIR2277	93	0.699
ENSG00000249353.2	NPM1P27	830	0.417
ENSG00000248483.7	POU5F2	8381	0.396
ENSG00000272406.1	AC108102.1	548	0.427
ENSG00000287447.1	AC099501.1	3197	0.333
ENSG00000251023.1	AC114980.1	3157	0.364
ENSG00000286577.1	AC117528.1	1492	0.385
ENSG00000251544.1	MTND5P12	1449	0.447
ENSG00000254132.1	MTND6P3	542	0.393
ENSG00000251340.1	MTCYBP35	1137	0.446
ENSG00000232578.4	AC093311.1	2021	0.359
ENSG00000270133.1	AC025766.1	409	0.428
ENSG00000249175.1	AC008534.1	1940	0.463
ENSG00000243806.1	RPL7P18	734	0.411
ENSG00000276514.1	AC008534.2	179	0.469
ENSG00000249545.1	MCTP1-AS1	527	0.398
ENSG00000225165.3	RTRAFP2	644	0.396
ENSG00000212259.1	RNU6-308P	107	0.374
ENSG00000178015.5	GPR150	2056	0.644
ENSG00000251348.1	HSPD1P11	1702	0.404
ENSG00000251000.1	GGCTP1	418	0.428
ENSG00000251409.1	AC008592.3	450	0.5
ENSG00000272021.1	AC008592.4	547	0.411
ENSG00000250955.1	AC008592.2	571	0.464
ENSG00000213716.3	FABP5P5	406	0.409
ENSG00000250551.1	MIR583HG	704	0.361
ENSG00000207578.1	MIR583	75	0.467
ENSG00000206997.1	RNU6-524P	107	0.402
ENSG00000249746.1	AC099509.1	652	0.393
ENSG00000250158.1	AC099509.2	406	0.458
ENSG00000249180.1	AC020900.1	565	0.402
ENSG00000227836.1	AC008850.1	362	0.406
ENSG00000200884.1	Y_RNA	102	0.441
ENSG00000213701.4	SETP22	957	0.422
ENSG00000251513.2	LIX1-AS1	1793	0.429
ENSG00000206698.1	RNU1-73P	164	0.451
ENSG00000286828.1	AC008883.3	2402	0.376
ENSG00000248758.1	AC008883.1	193	0.373
ENSG00000251054.1	AC008883.2	414	0.377
ENSG00000249761.1	AC074133.1	183	0.437
ENSG00000251389.1	YTHDF1P1	1646	0.476
ENSG00000249977.1	AC106748.1	384	0.508
ENSG00000248931.1	MTCYBP40	1135	0.391
ENSG00000251193.1	AC112203.1	1020	0.504
ENSG00000286953.1	AC122697.1	3635	0.349
ENSG00000249101.1	AC008834.1	175	0.503
ENSG00000249135.1	AC116347.2	523	0.312
ENSG00000238000.1	AC116347.1	720	0.51
ENSG00000176183.8	AC233964.1	1089	0.574
ENSG00000250221.1	KRT8P32	1461	0.572
ENSG00000250830.1	MRPS35P2	191	0.304
ENSG00000249990.1	MTCO2P24	426	0.373
ENSG00000249448.1	MTCO1P24	1558	0.414
ENSG00000251102.1	CTBP2P4	920	0.568
ENSG00000251553.1	DDX18P4	1966	0.396
ENSG00000250162.1	CSNK1A1P3	330	0.409
ENSG00000222610.1	RNU6-402P	103	0.398
ENSG00000200351.1	Y_RNA	110	0.427
ENSG00000241597.2	AC022121.1	579	0.523
ENSG00000206356.5	AC114324.1	3152	0.585
ENSG00000227762.4	GUSBP8	679	0.554
ENSG00000249515.1	LINC02113	336	0.417
ENSG00000248236.1	AC008837.1	412	0.398
ENSG00000248928.1	AC008837.2	418	0.411
ENSG00000250391.1	CRLF3P2	1289	0.426
ENSG00000249963.1	EEF1A1P20	1386	0.426
ENSG00000199378.1	Y_RNA	103	0.417
ENSG00000270232.1	MTCYBP22	447	0.461
ENSG00000270230.1	MTND6P22	521	0.411
ENSG00000271687.1	MTND5P10	1809	0.434
ENSG00000270906.1	MTND4P35	1375	0.434
ENSG00000270350.1	MTND4LP5	292	0.411
ENSG00000271480.1	MTND3P19	345	0.403
ENSG00000270388.1	MTCO3P22	784	0.468
ENSG00000270307.1	MTATP6P2	678	0.437
ENSG00000270225.1	MTCO2P22	681	0.442
ENSG00000271207.1	MTCO1P22	1360	0.432
ENSG00000274455.1	AC092278.1	745	0.566
ENSG00000207077.1	RNU6-1119P	108	0.389
ENSG00000275374.1	AC113385.3	747	0.562
ENSG00000273957.1	AC113385.2	762	0.596
ENSG00000250806.2	AC027315.1	469	0.367
ENSG00000207269.1	RN7SKP62	329	0.514
ENSG00000221263.1	MIR548P	84	0.286
ENSG00000277506.1	RN7SL802P	299	0.488
ENSG00000251261.4	OR7H2P	306	0.461
ENSG00000249495.1	AC117525.1	503	0.352
ENSG00000199786.1	RNA5SP188	129	0.504
ENSG00000248261.2	AC008948.1	690	0.416
ENSG00000173930.9	SLCO4C1	5069	0.371
ENSG00000222987.1	RN7SKP68	307	0.511
ENSG00000250958.1	LINC00492	593	0.383
ENSG00000247402.2	AC099487.1	391	0.501
ENSG00000286338.1	AC099487.2	1274	0.397
ENSG00000175749.11	EIF3KP1	656	0.521
ENSG00000248203.1	AC011362.1	485	0.421
ENSG00000250567.1	AC010406.1	555	0.362
ENSG00000248757.2	LINC02115	432	0.456
ENSG00000201910.1	RNU1-140P	165	0.461
ENSG00000239808.3	RN7SL255P	296	0.507
ENSG00000278958.1	AC091931.1	728	0.264
ENSG00000253776.1	AC099520.2	567	0.43
ENSG00000252881.1	RNU6-334P	102	0.314
ENSG00000232159.3	RAB9BP1	626	0.409
ENSG00000201790.1	RNA5SP189	115	0.409
ENSG00000251204.1	AC027313.1	1666	0.436
ENSG00000250145.1	AC114940.1	1265	0.384
ENSG00000252337.1	AC114940.2	139	0.403
ENSG00000250273.1	PSMC1P5	177	0.458
ENSG00000248827.1	AC024587.1	2157	0.415
ENSG00000239708.3	RN7SL782P	294	0.537
ENSG00000251732.1	RN7SKP122	296	0.449
ENSG00000286503.1	AC008462.1	681	0.555
ENSG00000244245.1	AC133134.1	359	0.435
ENSG00000272523.1	LINC01023	436	0.635
ENSG00000249921.2	AC034207.1	948	0.511
ENSG00000250383.1	AC008871.1	398	0.42
ENSG00000207404.1	Y_RNA	110	0.418
ENSG00000250441.1	AC109481.1	282	0.457
ENSG00000206593.1	RNU6-47P	107	0.43
ENSG00000176857.5	GJA1P1	1143	0.481
ENSG00000286882.1	AC116428.1	1280	0.41
ENSG00000248867.1	AC010625.1	403	0.372
ENSG00000251367.1	AC091917.3	600	0.407
ENSG00000248876.1	AC091917.2	744	0.321
ENSG00000248440.1	AC091917.1	566	0.277
ENSG00000214794.4	KRT18P42	1255	0.555
ENSG00000271849.1	MAN2A1-DT	528	0.384
ENSG00000202512.1	RN7SKP230	335	0.475
ENSG00000249068.1	AC008417.1	565	0.402
ENSG00000254106.1	LINC01848	518	0.55
ENSG00000253224.1	PGAM5P1	814	0.609
ENSG00000221436.1	MIR548F3	87	0.299
ENSG00000207177.1	AC008650.1	134	0.478
ENSG00000270779.1	AC008782.1	430	0.384
ENSG00000248966.1	BCLAF1P1	2752	0.416
ENSG00000248428.1	AC010395.1	697	0.405
ENSG00000251627.1	AC010395.2	904	0.539
ENSG00000253613.2	AC008572.1	442	0.43
ENSG00000250728.1	AC010468.2	458	0.386
ENSG00000214784.4	RPS3AP21	817	0.424
ENSG00000249318.1	AC010468.1	438	0.422
ENSG00000248268.1	AC010275.1	565	0.531
ENSG00000249619.1	HMGN1P13	138	0.413
ENSG00000251099.2	AC008967.1	163	0.466
ENSG00000253057.1	RN7SKP57	293	0.447
ENSG00000249439.1	HMGN1P14	517	0.333
ENSG00000238363.1	SNORA13	133	0.406
ENSG00000250882.1	AC010261.1	457	0.317
ENSG00000251076.1	AC104126.1	711	0.381
ENSG00000248350.1	AC010265.1	211	0.403
ENSG00000248430.1	HMGB3P16	287	0.453
ENSG00000251014.1	AC137549.1	533	0.501
ENSG00000250045.2	CBX3P3	532	0.389
ENSG00000212370.1	RNU6-482P	107	0.43
ENSG00000258864.1	AC008575.1	694	0.401
ENSG00000249947.2	XBP1P1	652	0.492
ENSG00000212643.3	ZRSR2P1	1470	0.474
ENSG00000212122.4	TSSK1B	2437	0.524
ENSG00000251741.1	RNU4ATAC13P	126	0.452
ENSG00000286839.1	AC093240.1	2067	0.462
ENSG00000222706.1	RN7SKP89	242	0.537
ENSG00000251542.1	LINC01957	751	0.382
ENSG00000251132.1	AC094104.2	622	0.442
ENSG00000250242.1	AC094104.1	584	0.493
ENSG00000250472.1	TRIM36-IT1	881	0.296
ENSG00000249791.1	AC008494.2	370	0.314
ENSG00000271797.1	AC008494.3	944	0.536
ENSG00000243304.3	AC008494.1	796	0.583
ENSG00000250197.1	HMGN1P15	295	0.431
ENSG00000249026.2	CTNNA1P1	2728	0.482
ENSG00000248722.1	AK3P4	583	0.456
ENSG00000249944.1	AC008628.2	298	0.346
ENSG00000249433.1	AC008628.1	265	0.34
ENSG00000250444.1	CCT5P1	1618	0.463
ENSG00000145780.8	FEM1C	5697	0.376
ENSG00000249021.1	AC008549.2	706	0.358
ENSG00000251118.1	H3P24	404	0.495
ENSG00000222598.1	RNU2-49P	184	0.429
ENSG00000287148.1	LINCADL	521	0.459
ENSG00000248295.2	DDX43P1	1763	0.398
ENSG00000185641.6	AC034236.1	373	0.477
ENSG00000272265.1	AC034236.3	461	0.414
ENSG00000271918.1	AC034236.2	1610	0.527
ENSG00000212457.1	RNU6-644P	98	0.378
ENSG00000232916.1	HMGN2P27	270	0.507
ENSG00000250015.1	AC018752.1	206	0.437
ENSG00000239528.1	RPS14P8	369	0.531
ENSG00000197575.6	RPS17P2	408	0.5
ENSG00000251311.1	LINC02214	707	0.464
ENSG00000250650.1	AC093534.1	132	0.348
ENSG00000250949.1	AC093534.2	420	0.455
ENSG00000243758.1	RPL35AP15	339	0.41
ENSG00000285809.1	AC093295.1	3788	0.405
ENSG00000251477.1	AC114322.1	926	0.392
ENSG00000249582.1	RPL7L1P4	707	0.448
ENSG00000250427.1	LINC02148	1223	0.455
ENSG00000249551.1	LINC02216	581	0.482
ENSG00000286745.1	AC114311.1	728	0.387
ENSG00000249128.1	LINC02215	543	0.392
ENSG00000238904.1	RNU7-34P	64	0.375
ENSG00000249426.1	AC093206.1	497	0.368
ENSG00000197744.5	PTMAP2	327	0.52
ENSG00000283498.1	MIR1244-2	85	0.318
ENSG00000223179.3	RNU6-373P	98	0.357
ENSG00000250678.1	AC008629.2	483	0.447
ENSG00000250928.1	AC008629.3	586	0.459
ENSG00000248885.1	AC118465.1	1271	0.379
ENSG00000248979.2	LAMTOR3P2	232	0.366
ENSG00000206786.1	RNU6-701P	107	0.402
ENSG00000264536.1	MIR5706	80	0.45
ENSG00000243333.3	RN7SL174P	289	0.55
ENSG00000202092.1	RNA5SP190	118	0.568
ENSG00000213663.4	AC010409.1	476	0.418
ENSG00000249919.1	FABP5P6	409	0.396
ENSG00000250895.1	AC010409.2	478	0.498
ENSG00000234259.3	AC008550.1	884	0.577
ENSG00000251293.1	AC008574.1	433	0.411
ENSG00000251975.1	RNU6-718P	105	0.343
ENSG00000270741.1	PRELID3BP8	295	0.373
ENSG00000222609.1	RNU4-69P	143	0.378
ENSG00000248927.1	AC114284.1	1114	0.368
ENSG00000251135.2	AC008565.1	885	0.35
ENSG00000248853.1	AC113352.1	666	0.492
ENSG00000250847.1	AC010350.1	231	0.403
ENSG00000279860.1	AC008568.2	2313	0.322
ENSG00000244088.1	RPL23AP44	473	0.455
ENSG00000213661.3	AC106806.1	561	0.56
ENSG00000249600.1	AC106806.2	500	0.372
ENSG00000181867.3	FTMT	952	0.584
ENSG00000249610.1	AC010255.2	428	0.386
ENSG00000272139.1	AC113349.2	377	0.565
ENSG00000249621.1	AC113349.1	583	0.479
ENSG00000249916.1	AC119150.1	563	0.467
ENSG00000287794.1	AC119150.2	970	0.397
ENSG00000240058.3	ARGFXP1	961	0.485
ENSG00000260686.1	AC008669.1	2178	0.312
ENSG00000263432.2	RN7SL689P	297	0.522
ENSG00000249996.1	PPIC-AS1	561	0.629
ENSG00000276047.1	RN7SL711P	299	0.545
ENSG00000213655.4	AC010493.1	292	0.363
ENSG00000250539.1	KRT8P33	1423	0.586
ENSG00000249400.1	HMGB3P17	649	0.378
ENSG00000279772.1	AC026422.1	452	0.378
ENSG00000235275.3	KRT18P16	1294	0.58
ENSG00000250862.1	HMGB1P29	499	0.425
ENSG00000251421.2	AC016556.1	935	0.422
ENSG00000251214.1	AC025465.4	638	0.408
ENSG00000250438.1	AC025465.3	311	0.318
ENSG00000248296.1	AC025465.1	797	0.473
ENSG00000249112.1	AC112196.1	832	0.399
ENSG00000251456.1	AC113398.2	558	0.33
ENSG00000242814.2	AC113398.1	406	0.579
ENSG00000248443.1	AC109464.1	819	0.394
ENSG00000249261.1	AC109464.2	943	0.381
ENSG00000288008.1	AC109458.2	843	0.372
ENSG00000250194.1	AC109458.1	316	0.453
ENSG00000250721.1	HMGB1P22	124	0.419
ENSG00000222107.1	RN7SKP117	264	0.534
ENSG00000250402.2	AC109471.1	612	0.369
ENSG00000286111.1	AC116362.2	1338	0.374
ENSG00000249950.1	AC010587.2	448	0.353
ENSG00000249904.1	AC010587.1	469	0.328
ENSG00000241888.2	RPSAP37	821	0.49
ENSG00000279118.1	AC093535.2	2326	0.397
ENSG00000202082.2	RNU6-290P	101	0.337
ENSG00000230929.5	AC099513.1	301	0.502
ENSG00000213630.3	BOLA3P3	232	0.431
ENSG00000249768.2	HSPE1P10	558	0.475
ENSG00000251072.2	LMNB1-DT	914	0.398
ENSG00000252185.1	RNU6-752P	102	0.382
ENSG00000279446.1	AC005915.1	2018	0.422
ENSG00000214743.4	MRPS5P3	166	0.482
ENSG00000250080.1	AC011416.1	1732	0.501
ENSG00000271585.1	SELENOTP2	355	0.465
ENSG00000250956.1	AC011416.2	145	0.524
ENSG00000249577.1	AC010424.1	297	0.37
ENSG00000271766.1	AC010424.2	443	0.395
ENSG00000250859.1	HNRNPKP1	1379	0.449
ENSG00000282925.1	AC010424.3	1745	0.448
ENSG00000248799.1	AC022118.1	547	0.42
ENSG00000251032.1	CUL1P1	2425	0.404
ENSG00000250603.1	AC068658.1	388	0.428
ENSG00000250329.1	KDELC1P1	1509	0.426
ENSG00000207290.1	Y_RNA	114	0.404
ENSG00000248634.1	AC008588.1	462	0.498
ENSG00000264563.1	MIR4633	79	0.57
ENSG00000286274.1	AC008679.1	3895	0.397
ENSG00000265691.1	MIR4460	86	0.419
ENSG00000186367.7	MINAR2	2339	0.409
ENSG00000221562.1	RNU6ATAC10P	111	0.505
ENSG00000199455.1	RNA5SP191	102	0.51
ENSG00000248610.1	HSPA8P4	1920	0.418
ENSG00000252514.1	RNU7-53P	60	0.367
ENSG00000249312.1	ARL2BPP4	471	0.382
ENSG00000249418.2	AC005741.1	432	0.382
ENSG00000287390.1	AC006525.1	2582	0.351
ENSG00000244192.1	AC113367.1	532	0.474
ENSG00000250405.2	AC113367.3	1912	0.586
ENSG00000248955.1	AC113367.2	160	0.575
ENSG00000279370.1	AC004777.1	287	0.268
ENSG00000273217.1	AC008695.1	6393	0.417
ENSG00000275939.1	AC008497.1	166	0.572
ENSG00000286676.1	AC008695.2	1070	0.548
ENSG00000279584.1	AC005593.1	515	0.561
ENSG00000234758.1	AC034228.2	562	0.427
ENSG00000223548.1	ACSL6-AS1	923	0.519
ENSG00000231585.1	AC034228.1	459	0.603
ENSG00000164399.5	IL3	924	0.476
ENSG00000164400.6	CSF2	788	0.503
ENSG00000253067.1	AC034216.1	68	0.603
ENSG00000227616.1	AC063976.3	329	0.471
ENSG00000235775.1	AC063976.4	163	0.35
ENSG00000224015.1	AC063976.1	381	0.559
ENSG00000237714.1	P4HA2-AS1	839	0.402
ENSG00000224431.1	AC063976.2	3556	0.431
ENSG00000283678.1	MIR6830	70	0.543
ENSG00000263597.1	MIR3936	110	0.518
ENSG00000202533.1	Y_RNA	111	0.423
ENSG00000234290.2	AC116366.1	3730	0.466
ENSG00000198944.6	SOWAHA	3485	0.577
ENSG00000272203.1	AC004775.1	753	0.378
ENSG00000201274.1	RNA5SP192	120	0.45
ENSG00000235253.1	AC010240.2	1205	0.451
ENSG00000202417.1	Y_RNA	113	0.469
ENSG00000225364.1	ATP6V0E1P1	226	0.478
ENSG00000272023.1	AC010240.3	395	0.653
ENSG00000229738.1	AC010240.1	459	0.49
ENSG00000199677.1	Y_RNA	102	0.422
ENSG00000248648.1	AC113410.1	247	0.437
ENSG00000287054.1	AC113410.5	2034	0.399
ENSG00000286408.1	AC113410.4	829	0.531
ENSG00000279691.1	AC113410.3	203	0.581
ENSG00000251616.1	AC113410.2	678	0.504
ENSG00000240611.1	AC010307.1	836	0.426
ENSG00000250409.1	AC010608.1	275	0.567
ENSG00000221287.1	MIR1289-2	111	0.532
ENSG00000280104.1	AC010608.3	527	0.397
ENSG00000279197.1	AC010608.2	470	0.364
ENSG00000251243.1	AC005178.1	440	0.361
ENSG00000249073.1	WSPAR	683	0.526
ENSG00000271737.1	AC008608.2	416	0.623
ENSG00000271128.1	AC008608.1	127	0.441
ENSG00000272772.1	AC104109.3	483	0.58
ENSG00000266751.1	MIR3661	96	0.583
ENSG00000270177.1	AC104109.2	1418	0.539
ENSG00000239615.1	AC104109.1	436	0.452
ENSG00000279469.1	AC109454.4	649	0.378
ENSG00000248559.1	AC109454.2	520	0.425
ENSG00000243648.1	AC109454.1	498	0.504
ENSG00000250994.1	AC005355.1	714	0.566
ENSG00000207222.1	RNU6-456P	107	0.393
ENSG00000251169.2	LINC01843	1107	0.563
ENSG00000240250.3	RN7SL541P	283	0.502
ENSG00000280420.1	AC005355.2	484	0.428
ENSG00000207459.1	RNU6-1311P	107	0.402
ENSG00000201298.1	RNU6-1164P	107	0.393
ENSG00000222266.1	RNU6-757P	100	0.38
ENSG00000241179.1	AC010301.1	355	0.403
ENSG00000270892.1	AC006077.1	343	0.446
ENSG00000279799.1	AC006077.2	457	0.635
ENSG00000244921.2	MTCYBP18	747	0.469
ENSG00000249119.1	MTND6P4	522	0.418
ENSG00000248923.1	MTND5P11	1812	0.445
ENSG00000247627.2	MTND4P12	1377	0.443
ENSG00000198868.3	MTND4LP30	297	0.418
ENSG00000263963.1	AC008670.1	74	0.486
ENSG00000249192.1	MTND3P25	135	0.422
ENSG00000277619.1	AC008406.3	1374	0.614
ENSG00000248753.1	AC008406.2	532	0.476
ENSG00000248482.1	AC008406.1	541	0.542
ENSG00000270021.1	AC026691.1	2017	0.535
ENSG00000251380.3	DCANP1	3135	0.54
ENSG00000255833.2	TIFAB	5867	0.534
ENSG00000249639.1	AC022092.1	504	0.492
ENSG00000181965.6	NEUROG1	1683	0.602
ENSG00000251045.1	SLC25A48-AS1	2141	0.485
ENSG00000223539.4	AC011431.1	230	0.526
ENSG00000265924.1	MIR5692C1	91	0.297
ENSG00000145839.2	IL9	605	0.425
ENSG00000254239.1	AC002428.2	414	0.449
ENSG00000253927.1	AC002428.1	771	0.492
ENSG00000270123.4	VTRNA2-1	128	0.508
ENSG00000278815.1	Vault	101	0.564
ENSG00000164621.5	SMAD5-AS1	1816	0.427
ENSG00000277859.1	AC009014.4	266	0.462
ENSG00000275646.1	AC009014.2	131	0.511
ENSG00000277524.1	AC009014.3	124	0.492
ENSG00000274934.1	AC009014.1	167	0.425
ENSG00000271824.2	SMIM32	1695	0.667
ENSG00000248211.1	TRPC7-AS1	460	0.5
ENSG00000250947.1	TRPC7-AS2	706	0.511
ENSG00000279240.1	AC063980.1	414	0.457
ENSG00000248351.1	HSPD1P18	244	0.447
ENSG00000213568.4	HNRNPA1P13	963	0.463
ENSG00000248616.1	ANKRD49P3	715	0.432
ENSG00000222285.1	RNA5SP193	107	0.449
ENSG00000216009.3	MIR874	78	0.692
ENSG00000177733.7	HNRNPA0	8713	0.41
ENSG00000270697.1	AC106791.2	391	0.414
ENSG00000246323.2	AC113382.1	1253	0.471
ENSG00000250260.1	AC113382.2	646	0.427
ENSG00000222924.1	RNU6-1148P	104	0.337
ENSG00000212460.1	RNU6-460P	108	0.38
ENSG00000199880.1	RNU6-888P	101	0.356
ENSG00000249851.1	RPS27AP18	459	0.414
ENSG00000249971.1	AC104116.1	411	0.509
ENSG00000271196.1	AC113403.1	193	0.549
ENSG00000120738.8	EGR1	3137	0.553
ENSG00000241458.1	RPL7P19	618	0.413
ENSG00000222937.1	SNORD63B	70	0.429
ENSG00000206989.1	SNORD63	68	0.353
ENSG00000232174.3	AC113340.1	636	0.525
ENSG00000238745.1	AC113340.2	104	0.413
ENSG00000253404.1	AC034243.1	587	0.559
ENSG00000201532.1	RNA5SP194	113	0.496
ENSG00000242683.1	RPL12P21	518	0.512
ENSG00000252533.1	RNU6-572P	80	0.362
ENSG00000252213.1	SNORA74D	141	0.532
ENSG00000200959.1	SNORA74A	198	0.485
ENSG00000199545.1	RNA5SP195	117	0.504
ENSG00000253015.1	RN7SKP64	328	0.466
ENSG00000272742.1	AC135457.1	664	0.327
ENSG00000228672.4	PROB1	4513	0.665
ENSG00000279686.1	AC142391.1	1002	0.532
ENSG00000200378.1	RNU5B-4P	111	0.333
ENSG00000249751.4	ECSCR	1031	0.517
ENSG00000283288.1	SMIM33	2594	0.556
ENSG00000249689.1	AC138517.1	568	0.482
ENSG00000249215.1	NCOA4P4	1861	0.456
ENSG00000286403.1	AC010378.1	2087	0.47
ENSG00000207020.1	Y_RNA	102	0.402
ENSG00000275506.1	H3P25	362	0.425
ENSG00000272255.1	AC113361.1	543	0.471
ENSG00000250635.1	CXXC5-AS1	577	0.674
ENSG00000249526.1	AC008667.1	568	0.551
ENSG00000200756.1	RNU6-236P	106	0.34
ENSG00000251387.1	AC008667.3	553	0.546
ENSG00000271792.1	AC008667.4	168	0.607
ENSG00000250692.1	AC008667.2	469	0.67
ENSG00000207317.1	AC010292.1	101	0.475
