Geneid	syn	length	gc
ENST00000407496.2	ENSG00000218772.2	FAM8A6P	1135	0.546
ENST00000412602.1	ENSG00000229722.1	AL078590.1	479	0.409
ENST00000452888.1	ENSG00000227723.1	AL596188.1	370	0.47
ENST00000447557.1	ENSG00000236389.1	AL121970.1	929	0.406
ENST00000441868.2	ENSG00000213117.4	AL021939.1	886	0.43
ENST00000416448.2	ENSG00000240056.2	AL445190.1	288	0.458
ENST00000637030.1	ENSG00000283409.1	MIR3662	95	0.379
ENST00000447508.1	ENSG00000232876.1	AL353596.1	790	0.475
ENST00000455534.1	ENSG00000236703.1	MYB-AS1	449	0.39
ENST00000384956.1	ENSG00000207689.1	MIR548A2	97	0.33
ENST00000434255.1	ENSG00000224374.1	AL023693.1	216	0.477
ENST00000444302.1	ENSG00000234084.1	AL049552.1	577	0.399
ENST00000667807.1	ENSG00000287094.1	AL049552.2	716	0.446
ENST00000364142.1	ENSG00000201012.1	Y_RNA	106	0.368
ENST00000423411.2	ENSG00000226540.2	GAPDHP73	1007	0.5
ENST00000403495.2	ENSG00000217482.2	HMGB1P17	628	0.424
ENST00000447848.1	ENSG00000236378.1	AL133319.1	777	0.456
ENST00000655005.1	ENSG00000286313.1	AL360178.1	2129	0.387
ENST00000668291.1	ENSG00000288054.1	AL360178.2	3917	0.366
ENST00000392354.4	ENSG00000213111.5	COX5BP2	334	0.551
ENST00000615812.1	ENSG00000277973.1	AL138828.2	383	0.574
ENST00000403956.2	ENSG00000216519.2	AL023284.1	276	0.5
ENST00000564248.1	ENSG00000260418.1	AL023284.4	374	0.527
ENST00000405850.2	ENSG00000216613.2	AL023284.2	579	0.472
ENST00000405668.2	ENSG00000218424.2	NDUFS5P1	289	0.384
ENST00000606679.1	ENSG00000271765.1	RN7SKP299	301	0.405
ENST00000607749.1	ENSG00000272189.1	AL024508.1	1894	0.445
ENST00000432477.2	ENSG00000234263.2	MAP3K5-AS1	810	0.438
ENST00000390940.1	ENSG00000212242.1	RNA5SP219	113	0.469
ENST00000661159.1	ENSG00000286646.1	AL121933.2	1096	0.487
ENST00000364937.1	ENSG00000201807.1	AL121933.1	134	0.418
ENST00000331858.5	ENSG00000182747.5	SLC35D3	2343	0.528
ENST00000384518.1	ENSG00000207247.1	Y_RNA	102	0.431
ENST00000414680.1	ENSG00000230350.1	RPL35AP3	288	0.469
ENST00000458017.1	ENSG00000235399.1	AL135902.1	384	0.432
ENST00000367734.4	ENSG00000177468.7	OLIG3	2196	0.546
ENST00000418879.1	ENSG00000213108.3	BTF3L4P3	476	0.399
ENST00000637996.1	ENSG00000283265.1	AL356234.3	1160	0.462
ENST00000404534.1	ENSG00000220412.1	AL356234.1	1779	0.445
ENST00000384570.1	ENSG00000207300.1	Y_RNA	113	0.389
ENST00000667736.1	ENSG00000287393.1	AL591468.1	1567	0.428
ENST00000417932.1	ENSG00000226004.1	LINC02528	573	0.405
ENST00000403415.1	ENSG00000219463.1	RPSAP42	878	0.499
ENST00000421351.4	ENSG00000112378.12	PERP	4198	0.404
ENST00000251691.5	ENSG00000112379.9	ARFGEF3	14859	0.458
ENST00000527246.3	ENSG00000254440.3	PBOV1	2506	0.382
ENST00000573100.2	ENSG00000262543.2	SMIM28	1266	0.499
ENST00000404229.1	ENSG00000218499.1	AL031003.1	172	0.384
ENST00000401037.3	ENSG00000215878.3	MARCKSL1P2	976	0.545
ENST00000580727.1	ENSG00000266555.1	MIR3145	82	0.317
ENST00000619829.1	ENSG00000274594.1	AL391669.1	285	0.635
ENST00000405630.1	ENSG00000216802.1	AL590617.1	748	0.536
ENST00000449542.1	ENSG00000225415.2	ACKR4P1	1053	0.415
ENST00000367658.3	ENSG00000112406.5	HECA	5646	0.453
ENST00000403909.2	ENSG00000218565.2	AL592429.1	1473	0.443
ENST00000402768.1	ENSG00000219806.1	ATP5PBP6	767	0.439
ENST00000381279.3	ENSG00000205695.3	AL390205.1	1586	0.443
ENST00000445585.1	ENSG00000225148.1	AL050338.1	786	0.374
ENST00000516298.1	ENSG00000252107.1	RNA5SP220	104	0.433
ENST00000582138.1	ENSG00000263514.1	MIR3668	75	0.213
ENST00000650553.1	ENSG00000285875.1	AL035446.2	1235	0.392
ENST00000583434.1	ENSG00000264390.1	MIR4465	70	0.5
ENST00000407896.2	ENSG00000217684.2	RPS3AP24	734	0.368
ENST00000455011.1	ENSG00000234147.1	AL035446.1	453	0.461
ENST00000407538.2	ENSG00000216548.2	AL357084.1	454	0.478
ENST00000617394.1	ENSG00000275138.1	AL357080.1	239	0.377
ENST00000667537.1	ENSG00000286452.1	AL355596.2	1175	0.41
ENST00000565399.1	ENSG00000259828.1	AL355596.1	3996	0.304
ENST00000410832.1	ENSG00000222764.1	RN7SKP106	272	0.467
ENST00000604304.1	ENSG00000270983.1	AL589674.1	337	0.43
ENST00000454401.1	ENSG00000236822.1	NMBR-AS1	222	0.563
ENST00000450456.2	ENSG00000203733.5	GJE1	916	0.337
ENST00000426166.1	ENSG00000237494.1	AL360007.1	349	0.461
ENST00000659367.1	ENSG00000287084.1	AL355337.1	4322	0.437
ENST00000437067.1	ENSG00000233138.1	AL023584.1	349	0.521
ENST00000454411.1	ENSG00000237851.1	AL023584.2	444	0.327
ENST00000454588.1	ENSG00000227192.1	AL023581.2	552	0.379
ENST00000423500.1	ENSG00000225752.1	AL023581.1	455	0.409
ENST00000404020.2	ENSG00000217495.2	AL136116.2	785	0.443
ENST00000403591.1	ENSG00000216642.1	AL136116.1	381	0.446
ENST00000402907.1	ENSG00000217648.1	AL136116.3	1138	0.456
ENST00000604177.1	ENSG00000270655.1	AL031320.1	357	0.493
ENST00000402141.1	ENSG00000218896.1	TUBB8P2	495	0.525
ENST00000411271.1	ENSG00000223203.1	RNA5SP221	103	0.524
ENST00000591892.2	ENSG00000278206.1	AL031320.2	2079	0.417
ENST00000545614.1	ENSG00000257065.1	AL049844.1	762	0.458
ENST00000367576.6	ENSG00000135521.9	LTV1	1853	0.418
ENST00000454207.2	ENSG00000280148.1	AL049844.3	1496	0.42
ENST00000604280.1	ENSG00000270890.1	AL049844.2	628	0.411
ENST00000635591.1	ENSG00000283122.1	HYMAI	3347	0.405
ENST00000620949.1	ENSG00000276680.1	AL109755.2	238	0.546
ENST00000401791.2	ENSG00000217231.2	AL109755.1	649	0.368
ENST00000367569.4	ENSG00000169976.7	SF3B5	690	0.565
ENST00000401492.1	ENSG00000219297.1	MRPL42P3	326	0.417
ENST00000367568.5	ENSG00000135604.10	STX11	5504	0.438
ENST00000403538.1	ENSG00000217027.1	TPT1P4	519	0.41
ENST00000404655.1	ENSG00000216475.1	AL024474.1	591	0.386
ENST00000431309.1	ENSG00000225311.1	AL024474.2	501	0.379
ENST00000402856.2	ENSG00000219409.2	AL590704.1	794	0.457
ENST00000406602.1	ENSG00000217195.1	AL513475.1	315	0.349
ENST00000402316.2	ENSG00000220739.2	AL513475.2	392	0.378
ENST00000648178.1	ENSG00000285598.1	AL023283.1	3847	0.396
ENST00000364249.1	ENSG00000201119.1	RNU1-33P	162	0.451
ENST00000404707.2	ENSG00000217612.2	AL031119.1	1879	0.407
ENST00000603994.1	ENSG00000270638.1	AL023806.1	1649	0.42
ENST00000603042.1	ENSG00000270828.1	AL023806.2	263	0.449
ENST00000655372.1	ENSG00000288551.1	AL023806.5	1109	0.372
ENST00000655907.1	ENSG00000288056.1	AL023806.4	1737	0.431
ENST00000237281.5	ENSG00000118496.5	FBXO30	9051	0.35
ENST00000334716.3	ENSG00000187103.3	FUNDC2P3	533	0.445
ENST00000411039.1	ENSG00000222971.1	RNA5SP222	105	0.505
ENST00000405812.2	ENSG00000216811.2	AL035698.1	564	0.367
ENST00000367495.4	ENSG00000118508.5	RAB32	1065	0.502
ENST00000419168.2	ENSG00000237468.2	AL359547.1	2190	0.42
ENST00000615810.1	ENSG00000273719.1	AL359547.2	418	0.404
ENST00000384700.2	ENSG00000207431.2	RNU6-906P	70	0.414
ENST00000606686.1	ENSG00000272397.1	AL138916.2	2144	0.426
ENST00000359838.3	ENSG00000196634.3	LUADT1	453	0.536
ENST00000616480.1	ENSG00000273997.1	AL355365.1	294	0.473
ENST00000401504.2	ENSG00000220494.4	YAP1P1	1393	0.558
ENST00000448909.1	ENSG00000226249.1	AL365271.1	603	0.443
ENST00000668177.1	ENSG00000287976.1	AL445123.2	301	0.442
ENST00000422023.1	ENSG00000234675.1	AL445123.1	446	0.444
ENST00000417838.1	ENSG00000230205.1	AL359382.1	426	0.446
ENST00000652976.1	ENSG00000287473.1	AL359382.2	319	0.47
ENST00000423268.1	ENSG00000224658.1	AL513164.1	311	0.505
ENST00000384615.1	ENSG00000207345.1	RNU6-1222P	107	0.393
ENST00000400072.3	ENSG00000215223.3	CYP51A1P3	1428	0.443
ENST00000407465.1	ENSG00000217824.1	SNRPEP6	277	0.426
ENST00000442343.1	ENSG00000231368.1	RPSAP40	891	0.517
ENST00000413845.1	ENSG00000227660.1	UST-AS1	714	0.451
ENST00000433442.1	ENSG00000236591.1	AL357992.1	130	0.523
ENST00000407763.2	ENSG00000219487.2	AL603766.1	664	0.389
ENST00000637957.1	ENSG00000283608.1	AL031056.2	1217	0.475
ENST00000485574.3	ENSG00000241391.3	RN7SL234P	295	0.569
ENST00000401911.1	ENSG00000216265.1	FABP12P1	322	0.441
ENST00000326669.6	ENSG00000177688.7	SUMO4	1017	0.391
ENST00000406807.2	ENSG00000219553.2	AL031133.1	723	0.415
ENST00000516435.1	ENSG00000252244.1	RNU7-3P	62	0.435
ENST00000446392.1	ENSG00000235168.1	AL078581.3	378	0.37
ENST00000627304.1	ENSG00000281021.1	AL078581.4	744	0.478
ENST00000419134.1	ENSG00000233330.1	AL078581.2	340	0.374
ENST00000365473.1	ENSG00000202343.1	AL078581.1	135	0.415
ENST00000384562.1	ENSG00000207292.1	Y_RNA	113	0.416
ENST00000623174.1	ENSG00000278899.1	AL358852.1	1268	0.595
ENST00000404779.2	ENSG00000219433.2	BTBD10P2	676	0.408
ENST00000628047.1	ENSG00000285889.1	AL355312.4	876	0.479
ENST00000647612.1	ENSG00000285991.1	AL355312.5	5065	0.438
ENST00000472053.2	ENSG00000273132.1	AL355312.3	312	0.593
ENST00000606915.1	ENSG00000268592.3	RAET1E-AS1	1210	0.696
ENST00000406551.2	ENSG00000217733.2	CCT7P1	1611	0.495
ENST00000407115.2	ENSG00000216906.2	AL355312.1	2176	0.582
ENST00000367351.4	ENSG00000131015.5	ULBP2	1335	0.47
ENST00000399570.3	ENSG00000215094.3	AL583835.1	407	0.423
ENST00000229708.4	ENSG00000111981.5	ULBP1	3211	0.43
ENST00000406262.1	ENSG00000219298.1	AL355497.1	551	0.463
ENST00000433415.1	ENSG00000231120.3	BTF3P10	495	0.43
ENST00000405282.1	ENSG00000216444.1	RAET1M	596	0.49
ENST00000456346.1	ENSG00000235972.1	AL355497.2	880	0.534
ENST00000392260.2	ENSG00000213091.2	PHBP1	808	0.531
ENST00000361131.5	ENSG00000198729.5	PPP1R14C	2219	0.474
ENST00000459301.1	ENSG00000238594.1	AL355497.3	103	0.437
ENST00000364758.1	ENSG00000201628.1	RNU4-7P	141	0.454
ENST00000407630.1	ENSG00000220598.1	SSR1P1	814	0.351
ENST00000407887.1	ENSG00000219622.1	AL451061.1	862	0.439
ENST00000430770.1	ENSG00000232891.1	AL450344.3	378	0.394
ENST00000456018.1	ENSG00000224029.1	AL450344.1	639	0.416
ENST00000455229.1	ENSG00000226599.1	AL450344.2	614	0.329
ENST00000398028.3	ENSG00000213089.4	PDCL3P5	722	0.461
ENST00000404372.1	ENSG00000218996.1	ARL4AP5	599	0.397
ENST00000365249.1	ENSG00000202119.1	RNU6-302P	107	0.458
ENST00000445833.1	ENSG00000232290.1	AL133260.2	396	0.369
ENST00000415477.1	ENSG00000223598.1	AL138733.1	853	0.45
ENST00000405720.1	ENSG00000219747.1	AL133260.1	405	0.511
ENST00000431947.1	ENSG00000231883.1	AL138733.2	804	0.505
ENST00000459080.1	ENSG00000238616.1	RNU6-300P	104	0.375
ENST00000440335.1	ENSG00000213087.3	AL356535.1	398	0.47
ENST00000516622.1	ENSG00000252431.1	RNU6-1247P	98	0.429
ENST00000516678.1	ENSG00000252487.1	RNY4P20	93	0.419
ENST00000411107.1	ENSG00000223039.1	RN7SKP268	316	0.528
ENST00000325144.5	ENSG00000181472.5	ZBTB2	3103	0.449
ENST00000516806.1	ENSG00000252615.1	Y_RNA	100	0.41
ENST00000401676.2	ENSG00000219395.2	HSPA8P15	786	0.45
ENST00000384691.1	ENSG00000207422.1	RNU6-813P	107	0.411
ENST00000451697.1	ENSG00000233823.1	AL356311.1	258	0.415
ENST00000666889.1	ENSG00000287914.1	AL078582.2	732	0.46
ENST00000641922.1	ENSG00000284615.1	AL078582.1	511	0.483
ENST00000412161.1	ENSG00000234577.1	SYNE1-AS1	553	0.51
ENST00000458194.1	ENSG00000226193.1	AL049548.1	385	0.426
ENST00000365174.1	ENSG00000202044.1	RNA5SP223	120	0.483
ENST00000449282.2	ENSG00000233464.2	NANOGP11	727	0.355
ENST00000402302.2	ENSG00000218792.2	HSPD1P16	394	0.398
ENST00000406999.2	ENSG00000217372.2	TUBB4BP7	1234	0.528
ENST00000405959.2	ENSG00000220745.2	AL080276.1	247	0.579
ENST00000365069.1	ENSG00000201939.1	RNA5SP224	126	0.484
ENST00000392385.2	ENSG00000213121.2	AL590867.1	1212	0.393
ENST00000492974.2	ENSG00000218426.5	AL590867.2	447	0.541
ENST00000436953.2	ENSG00000237312.2	AL358134.1	1023	0.432
ENST00000410874.1	ENSG00000222806.1	RNA5SP225	135	0.444
ENST00000402702.2	ENSG00000217160.2	MTCO2P31	684	0.376
ENST00000406098.2	ENSG00000242246.2	AL603908.1	201	0.313
ENST00000406985.2	ENSG00000218776.4	MTATP6P31	692	0.364
ENST00000405526.1	ENSG00000217044.1	MTCO3P31	789	0.414
ENST00000407663.1	ENSG00000220733.1	MTND3P20	186	0.403
ENST00000402379.1	ENSG00000220514.1	MTND4LP20	270	0.337
ENST00000402078.1	ENSG00000216713.1	MTND4P13	1023	0.383
ENST00000362376.1	ENSG00000199246.1	RNU6-896P	107	0.383
ENST00000403971.2	ENSG00000217085.2	HMGB3P19	560	0.439
ENST00000673182.1	ENSG00000288520.1	AL357075.4	2700	0.474
ENST00000456309.1	ENSG00000237593.1	AL445220.1	559	0.433
ENST00000657099.1	ENSG00000286553.1	AL357075.2	1410	0.445
ENST00000658375.1	ENSG00000287260.1	AL357075.3	1161	0.47
ENST00000614906.1	ENSG00000275419.1	AL357075.1	189	0.376
ENST00000404107.1	ENSG00000220181.1	MTRES1P1	726	0.39
ENST00000402039.1	ENSG00000219146.1	RPS4XP8	771	0.457
ENST00000427423.1	ENSG00000231316.1	AL591419.1	339	0.472
ENST00000307155.5	ENSG00000205625.2	AL591499.1	1153	0.473
ENST00000363724.1	ENSG00000200594.1	RNU6-824P	104	0.404
ENST00000404382.1	ENSG00000218757.1	AL121952.1	547	0.424
ENST00000578669.1	ENSG00000264814.1	MIR1273C	77	0.494
ENST00000459445.2	ENSG00000238963.2	AL121952.2	131	0.328
ENST00000622221.1	ENSG00000274451.1	AL136228.1	319	0.505
ENST00000435295.1	ENSG00000235381.1	AL596202.1	3088	0.426
ENST00000367165.3	ENSG00000171217.5	CLDN20	1209	0.46
ENST00000453579.1	ENSG00000232529.1	AL031773.1	554	0.504
ENST00000159060.3	ENSG00000074771.4	NOX3	1980	0.48
ENST00000458982.1	ENSG00000238789.1	RNU7-152P	64	0.375
ENST00000663591.1	ENSG00000287092.1	AL589693.1	1470	0.41
ENST00000408529.1	ENSG00000221456.1	MIR1202	83	0.663
ENST00000648863.1	ENSG00000285797.1	AL512658.2	2004	0.473
ENST00000390993.1	ENSG00000212295.1	SNORD28B	75	0.333
ENST00000402808.1	ENSG00000220347.1	H3P28	388	0.528
ENST00000604082.1	ENSG00000271265.1	AL355297.2	446	0.361
ENST00000603191.2	ENSG00000271551.2	AL355297.3	1249	0.521
ENST00000606121.1	ENSG00000271899.1	MIR4466	54	0.852
ENST00000604792.1	ENSG00000270487.1	AL355297.1	129	0.426
ENST00000406202.2	ENSG00000218596.2	AL162578.1	378	0.447
ENST00000442936.1	ENSG00000233044.1	AL049820.1	423	0.409
ENST00000405916.2	ENSG00000217783.2	LDHAL6FP	1082	0.46
ENST00000603032.1	ENSG00000271040.1	AL390955.2	514	0.527
ENST00000428694.1	ENSG00000213078.3	AL390955.1	934	0.454
ENST00000407196.1	ENSG00000218631.1	AL117344.1	616	0.427
ENST00000655601.1	ENSG00000286482.1	AL117344.2	3835	0.492
ENST00000577768.1	ENSG00000266617.1	MIR3692	69	0.507
ENST00000411838.1	ENSG00000234361.1	AL391863.2	681	0.355
ENST00000446768.1	ENSG00000236324.1	AL035634.1	372	0.352
ENST00000405341.1	ENSG00000220867.1	HSPE1P26	275	0.389
ENST00000516849.1	ENSG00000252658.1	RNU6-786P	90	0.367
ENST00000649179.1	ENSG00000285642.1	AL139330.1	264	0.489
ENST00000442328.1	ENSG00000233496.1	SYNJ2-IT1	599	0.529
ENST00000344851.4	ENSG00000188451.8	SRP72P2	1979	0.434
ENST00000619713.1	ENSG00000274023.1	AL360169.2	561	0.444
ENST00000665073.1	ENSG00000287591.1	AL360169.3	2086	0.42
ENST00000435116.1	ENSG00000238019.1	AL360169.1	143	0.503
ENST00000461853.3	ENSG00000243373.3	RN7SL173P	292	0.517
ENST00000406011.1	ENSG00000219188.1	CACYBPP3	625	0.517
ENST00000367090.4	ENSG00000146433.9	TMEM181	5390	0.435
ENST00000403590.1	ENSG00000218226.1	TATDN2P2	2226	0.528
ENST00000612973.1	ENSG00000278571.1	MIR7161	84	0.524
ENST00000406819.2	ENSG00000219249.2	AMZ2P2	1057	0.433
ENST00000581555.1	ENSG00000265558.1	MIR3918	93	0.624
ENST00000451712.2	ENSG00000233893.2	EZR-AS1	362	0.464
ENST00000642329.1	ENSG00000285159.1	AL627422.2	2687	0.491
ENST00000434104.1	ENSG00000213076.3	AL627422.1	580	0.507
ENST00000411259.1	ENSG00000223191.1	RNU6-293P	106	0.368
ENST00000645980.1	ENSG00000226032.2	AL035530.1	567	0.513
ENST00000419703.1	ENSG00000235086.1	FNDC1-IT1	516	0.357
ENST00000656085.1	ENSG00000286533.1	AL078604.4	957	0.442
ENST00000404609.2	ENSG00000216480.2	AL078604.1	466	0.453
ENST00000615580.1	ENSG00000276413.1	AL078604.3	211	0.445
ENST00000430078.1	ENSG00000237927.1	AL078604.2	2002	0.456
ENST00000403291.1	ENSG00000220305.1	HNRNPH1P1	1185	0.462
ENST00000516179.1	ENSG00000251988.1	RNU4ATAC18P	126	0.476
ENST00000535372.1	ENSG00000285427.1	SOD2-OT1	1718	0.531
ENST00000384662.1	ENSG00000207392.1	SNORA20	132	0.402
ENST00000384183.1	ENSG00000206910.1	SNORA29	140	0.364
ENST00000434562.2	ENSG00000236823.2	AL035691.1	741	0.506
ENST00000402250.1	ENSG00000216516.1	AL645733.1	217	0.544
ENST00000419196.1	ENSG00000230234.1	AL162582.1	467	0.529
ENST00000275300.3	ENSG00000146477.6	SLC22A3	3234	0.477
ENST00000663900.1	ENSG00000287656.1	AL591069.1	2346	0.452
ENST00000452651.1	ENSG00000243831.1	AL109933.2	260	0.5
ENST00000659713.1	ENSG00000287558.1	AL109933.5	4488	0.378
ENST00000612111.1	ENSG00000276960.1	AL109933.4	157	0.465
ENST00000619095.1	ENSG00000274903.1	AL109933.3	188	0.441
ENST00000405580.1	ENSG00000220913.1	AL391361.1	489	0.511
ENST00000608721.1	ENSG00000272841.1	AL139393.3	2025	0.534
ENST00000660049.1	ENSG00000286498.1	AL132982.1	1278	0.48
ENST00000662479.1	ENSG00000286805.1	AL138716.1	1298	0.534
ENST00000441609.1	ENSG00000227913.1	KRT8P44	1350	0.554
ENST00000404178.1	ENSG00000217557.1	AL590286.1	291	0.454
ENST00000647963.1	ENSG00000285610.1	AL590286.2	1424	0.442
ENST00000648584.1	ENSG00000285553.1	AL137182.1	1704	0.492
ENST00000650230.1	ENSG00000285726.1	AL031121.3	2227	0.491
ENST00000406553.1	ENSG00000217514.1	AL031121.1	254	0.461
ENST00000604200.1	ENSG00000270419.1	CAHM	896	0.609
ENST00000446476.2	ENSG00000228692.2	AL445307.1	602	0.442
ENST00000648257.1	ENSG00000285858.1	AL137005.1	1251	0.511
ENST00000577957.2	ENSG00000266128.2	RN7SL366P	292	0.538
ENST00000670784.1	ENSG00000286573.1	AL136225.1	2454	0.376
ENST00000564697.1	ENSG00000260422.1	Z97205.2	1639	0.492
ENST00000451328.1	ENSG00000230627.1	Z97205.1	448	0.52
ENST00000655888.1	ENSG00000288584.1	Z97205.3	2595	0.397
ENST00000434356.1	ENSG00000226739.1	AL358972.1	466	0.416
ENST00000667740.1	ENSG00000287877.1	AL133538.1	1541	0.378
ENST00000407696.2	ENSG00000217878.2	AL136100.1	330	0.506
ENST00000362653.1	ENSG00000199523.1	RNA5SP226	115	0.548
ENST00000383954.1	ENSG00000206681.1	RNU6-730P	104	0.404
ENST00000435810.1	ENSG00000236627.1	AL590302.2	1122	0.43
ENST00000629776.1	ENSG00000281832.1	LINC00602	2065	0.608
ENST00000663046.1	ENSG00000287824.1	AL627443.3	1376	0.473
ENST00000456477.1	ENSG00000231297.3	AL627443.1	1035	0.465
ENST00000363572.1	ENSG00000276643.1	AL627443.2	72	0.389
ENST00000364422.1	ENSG00000201292.1	RNU6-153P	104	0.327
ENST00000625261.1	ENSG00000280991.1	AL121956.5	221	0.665
ENST00000444219.2	ENSG00000233365.2	AL121956.1	1548	0.478
ENST00000255500.2	ENSG00000213536.2	GNG5P1	204	0.441
ENST00000629925.1	ENSG00000280850.1	AL121956.4	581	0.582
ENST00000658227.1	ENSG00000287189.1	AL121956.6	2828	0.478
ENST00000421336.1	ENSG00000233231.1	HNRNPA1P49	904	0.489
ENST00000568025.1	ENSG00000261420.1	AL022069.1	1636	0.545
ENST00000623222.1	ENSG00000280057.1	AL022069.2	1785	0.45
ENST00000416770.1	ENSG00000232082.1	RPS6KA2-IT1	579	0.558
ENST00000411026.1	ENSG00000222958.1	MIR1913	80	0.637
ENST00000444122.2	ENSG00000235272.2	RAMACL	1991	0.433
ENST00000667538.1	ENSG00000287690.1	AL023775.2	2096	0.437
ENST00000454907.1	ENSG00000235008.1	AL023775.1	1746	0.475
ENST00000507747.1	ENSG00000249141.1	AL159163.1	600	0.478
ENST00000455390.1	ENSG00000231654.1	RPS6KA2-AS1	627	0.581
ENST00000444102.1	ENSG00000227598.1	Z94721.1	385	0.54
ENST00000649589.1	ENSG00000285730.1	Z94721.3	1002	0.459
ENST00000582614.1	ENSG00000265828.1	MIR3939	106	0.547
ENST00000609590.1	ENSG00000272980.4	Z94721.2	5310	0.414
ENST00000642778.1	ENSG00000284825.1	AL121935.1	1749	0.469
ENST00000647254.1	ENSG00000284914.1	AL121935.2	1072	0.509
ENST00000366834.2	ENSG00000120436.4	GPR31	2734	0.501
ENST00000660720.1	ENSG00000286674.1	AL121935.3	2058	0.412
ENST00000404577.1	ENSG00000216966.1	AL353747.1	267	0.566
ENST00000454185.1	ENSG00000231720.1	AL353747.3	579	0.546
ENST00000439207.1	ENSG00000228648.1	AL353747.2	205	0.449
ENST00000402817.1	ENSG00000217447.1	AL021331.1	582	0.454
ENST00000670373.1	ENSG00000287297.1	AL356123.1	1195	0.523
ENST00000609107.1	ENSG00000272549.1	LINC02538	4569	0.573
ENST00000662677.1	ENSG00000287594.1	AL356123.2	724	0.535
ENST00000392115.2	ENSG00000213065.2	AL009178.1	1486	0.54
ENST00000597278.2	ENSG00000269155.2	AL009178.2	2719	0.581
ENST00000645341.1	ENSG00000285212.1	AL009178.3	821	0.43
ENST00000457340.1	ENSG00000234768.1	AL611929.1	449	0.599
ENST00000654363.1	ENSG00000287056.1	AL606970.5	2187	0.471
ENST00000424343.1	ENSG00000237987.1	AL606970.4	455	0.411
ENST00000434596.2	ENSG00000228361.2	AL606970.2	470	0.457
ENST00000416709.1	ENSG00000230711.2	CTAGE13P	2446	0.439
ENST00000445442.2	ENSG00000224417.2	AL606970.1	2559	0.45
ENST00000568306.1	ENSG00000260771.1	AL138918.1	659	0.539
ENST00000436492.1	ENSG00000235815.1	AL136099.1	557	0.463
ENST00000629608.1	ENSG00000280665.1	AL513210.2	234	0.577
ENST00000648992.1	ENSG00000285917.1	AL109924.4	762	0.524
ENST00000623089.1	ENSG00000279810.1	AL109924.3	670	0.434
ENST00000419800.1	ENSG00000229720.1	AL109924.1	934	0.505
ENST00000657062.1	ENSG00000286826.1	AL136129.1	1818	0.453
ENST00000564830.3	ENSG00000261039.3	LINC02544	672	0.438
ENST00000414044.1	ENSG00000224999.1	VTA1P1	866	0.416
ENST00000649318.1	ENSG00000285887.1	AL009176.1	4158	0.519
ENST00000607876.2	ENSG00000272848.2	AL135910.1	4107	0.507
ENST00000332290.3	ENSG00000185127.6	C6orf120	2667	0.458
ENST00000413088.1	ENSG00000232640.1	AL354892.2	403	0.538
ENST00000430250.1	ENSG00000227704.1	AL354892.1	335	0.493
ENST00000586101.1	ENSG00000266896.1	AL354892.3	1630	0.409
ENST00000420557.3	ENSG00000231690.3	LINC00574	2582	0.589
ENST00000427017.1	ENSG00000236173.1	AL049612.1	694	0.477
ENST00000671798.1	ENSG00000288162.1	AL596442.4	1713	0.447
ENST00000663924.1	ENSG00000287407.1	AL596442.3	659	0.572
ENST00000610240.1	ENSG00000273100.1	AL596442.2	980	0.506
ENST00000405880.1	ENSG00000218716.1	RPL12P23	490	0.527
ENST00000452071.1	ENSG00000230960.1	AL109910.1	1330	0.56
ENST00000607733.1	ENSG00000271820.1	AL109910.2	1953	0.614
ENST00000603529.1	ENSG00000271234.1	AL078605.1	500	0.38
ENST00000579929.1	ENSG00000266245.1	MIR4644	84	0.595
ENST00000564198.1	ENSG00000261003.1	AL008628.1	5187	0.489
ENST00000667394.1	ENSG00000287411.1	AL031259.1	1771	0.362
ENST00000402444.2	ENSG00000217874.2	OR4F7P	931	0.456
ENST00000617401.1	ENSG00000273640.1	WBP1LP8	327	0.477
ENST00000448824.1	ENSG00000234986.1	AL731661.1	806	0.473
ENST00000415530.1	ENSG00000225532.1	AL731684.1	439	0.501
ENST00000408017.2	ENSG00000219814.2	RPL23AP47	460	0.502
ENST00000615488.1	ENSG00000273644.1	AC215522.1	446	0.487
ENST00000465755.2	ENSG00000232325.4	AC093627.1	877	0.555
ENST00000478759.2	ENSG00000242611.2	AC093627.6	1365	0.566
ENST00000655297.1	ENSG00000287883.1	AC093627.22	1030	0.508
ENST00000567533.1	ENSG00000261795.1	AC093627.7	3208	0.57
ENST00000497017.1	ENSG00000239715.1	AC093627.2	568	0.535
ENST00000467050.1	ENSG00000240093.1	AC093627.3	574	0.547
ENST00000514988.1	ENSG00000249852.1	AC145676.1	2004	0.562
ENST00000670013.1	ENSG00000287342.1	AC188616.1	1836	0.539
ENST00000515213.1	ENSG00000249574.1	AC226118.1	2146	0.575
ENST00000665027.1	ENSG00000286764.1	AC188617.2	2284	0.454
ENST00000434541.1	ENSG00000234471.1	AC147651.1	420	0.56
ENST00000453149.1	ENSG00000229380.1	PRKAR1B-AS2	572	0.551
ENST00000429872.1	ENSG00000237181.1	PRKAR1B-AS1	731	0.568
ENST00000609998.1	ENSG00000273151.1	AC073957.3	6758	0.562
ENST00000362153.3	ENSG00000199023.3	MIR339	94	0.734
ENST00000418941.1	ENSG00000225146.1	AC073957.1	535	0.574
ENST00000549241.1	ENSG00000257607.1	AC073957.2	1562	0.579
ENST00000449721.1	ENSG00000224079.1	AC091729.1	869	0.602
ENST00000415656.1	ENSG00000226291.1	AC091729.2	302	0.609
